fid,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation,X,Y
"121",23.17249,12.113,71.13833,123.06271,31.3366,14.30921,17.02739,24.27129,21.63537,815.57935,167.8112,2.78072,104.50242,488.66748,12.75804,745,-93.999055,16.466306
"122",24.95409,10.22305,58.52966,193.68213,33.9134,16.44696,17.46644,26.80685,22.59384,3157.25122,617.40521,52.27181,80.72414,1665.40588,199.56038,193.5,-91.148889,16.1375
"123",26.49952,10.95984,69.12344,129.85625,33.37022,17.51476,15.85546,27.71123,24.96218,1035.76807,323.49771,0.20449,120.04321,681.30231,6.02263,6.5,-101.641389,17.695278
"124",26.44325,11.01237,69.42466,129.53595,33.30988,17.44754,15.86234,27.64785,24.92026,1021.31775,321.56631,0.21848,120.56407,670.37341,5.89563,9.5,-101.543333,17.627222
"125",26.99856,13.36399,69.52735,145.00502,36.11052,16.88932,19.2212,28.28754,25.26787,1131.7865,245.8338,2.69077,104.22623,654.05493,11.34089,85,-94.21625,16.402806
"126",26.30344,11.80005,69.55959,119.48988,34.10347,17.13952,16.96395,27.39406,25.00185,1293.81897,313.18951,0.68055,115.32852,806.6734,6.88798,37,-99.224722,16.766944
"127",23.00259,14.45034,69.06195,158.82864,33.20602,12.28229,20.92373,24.53057,21.04653,651.47449,135.6873,1.07042,101.14055,354.43402,14.5921,876.5,-96.085278,16.499528
"128",20.63889,13.43588,49.23566,527.26904,33.59624,6.30731,27.28893,26.61559,14.75458,405.28555,103.6301,10.52506,78.03698,206.33644,31.87794,614,-100.408333,25.975
"129",26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185,-95.597222,16.414083
"130",27.22988,12.93191,72.20674,121.81042,35.61342,17.70386,17.90956,28.20517,25.81745,597.90869,139.27879,0.49241,116.13288,381.7912,5.67513,28.5,-95.406,16.091306
"131",27.18452,10.48641,62.05793,163.08943,35.41383,18.51605,16.89778,28.6465,25.29442,935.51813,222.0585,1.24695,115.20112,576.79193,8.81918,16,-95.026694,16.406361
"132",26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185,-95.599167,16.412222
"133",24.21122,15.35452,68.58248,188.43605,35.6849,13.2965,22.3884,26.46339,22.00509,932.29492,200.032,1.83706,111.55262,588.34351,9.14423,1026,-99.293611,18.268333
"134",28.05965,11.48681,72.39259,108.45229,35.5708,19.70341,15.86739,29.16675,26.91654,1514.2041,303.80231,2.09648,101.94152,855.15369,20.66532,34,-93.784472,16.10775
"135",18.13516,9.76887,62.65375,151.18526,26.06947,10.47763,15.59184,19.6003,16.29268,1475.37634,277.6174,28.11247,77.82864,676.68829,92.81236,1455.5,-91.637417,16.092444
