verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Anopheles) pseudopunctipennis,19.224722,-100.273889,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,22.024444,-102.670555,70.0,2011
Anopheles (Anopheles) pseudopunctipennis,20.8125,-99.005,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,19.174167,-100.350833,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,16.752778,-93.116667,100.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.059444,-100.299167,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,20.718611,-98.949722,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,15.982222,-96.679444,100.0,2010
Anopheles (Anopheles) pseudopunctipennis,21.846111,-102.718333,80.0,2011
Anopheles (Anopheles) pseudopunctipennis,18.811667,-98.954722,90.0,2010
Anopheles (Anopheles) pseudopunctipennis,23.736111,-99.146111,60.0,2005
Anopheles (Anopheles) pseudopunctipennis,19.136389,-100.286667,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.247222,-100.270833,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.237222,-100.268055,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,16.622222,-96.031667,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,18.9625,-101.806111,90.0,2004
Anopheles (Anopheles) pseudopunctipennis,26.059444,-111.820278,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,17.5925,-92.825555,90.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.11,-100.286667,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.898611,-96.691111,100.0,2012
Anopheles (Anopheles) pseudopunctipennis,20.639722,-98.921111,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.1575,-100.286389,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.045,-98.418333,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,18.810556,-99.534444,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,18.857222,-99.965278,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,21.763333,-102.748889,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.172222,-100.243055,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,16.005556,-96.680833,100.0,2008
Anopheles (Anopheles) pseudopunctipennis,19.112778,-100.381944,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.224167,-100.321389,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.744444,-96.465278,100.0,2010
Anopheles (Anopheles) pseudopunctipennis,18.728333,-99.161389,90.0,2012
Anopheles (Anopheles) pseudopunctipennis,18.798889,-100.161111,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,19.103889,-100.385,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,27.281944,-112.895833,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,26.625556,-99.918333,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,21.083889,-98.404444,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,21.873889,-102.702222,80.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.237222,-100.268055,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.822778,-96.229167,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.175278,-100.271667,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,18.811667,-98.954722,90.0,2012
Anopheles (Anopheles) pseudopunctipennis,18.766667,-100.336667,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,15.883333,-96.682222,100.0,2007
Anopheles (Anopheles) pseudopunctipennis,15.834722,-96.595555,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,20.94,-99.181111,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.212778,-100.262778,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,25.811944,-100.598889,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,25.590278,-100.001111,50.0,2010
Anopheles (Anopheles) pseudopunctipennis,22.449444,-100.6775,70.0,2010
Anopheles (Anopheles) pseudopunctipennis,18.770833,-99.940278,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.142222,-100.314444,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.053056,-98.529167,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,19.15,-100.355,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,18.615278,-99.221944,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.199444,-100.343055,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.87,-102.732222,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,15.786667,-96.418055,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,20.499444,-98.678055,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,18.878611,-99.914444,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.308333,-99.641667,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.176389,-100.216389,90.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.951111,-96.677778,100.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.800833,-96.37,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,18.79,-100.009722,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,20.876389,-99.0625,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,20.828889,-99.024167,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,21.164722,-99.383333,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,15.877778,-96.685278,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,19.209722,-100.334722,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,17.2125,-96.795833,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.083056,-100.409444,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.827778,-96.463889,100.0,2010
Anopheles (Anopheles) pseudopunctipennis,18.086111,-96.123889,90.0,2010
Anopheles (Anopheles) pseudopunctipennis,22.016389,-102.716111,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,15.841389,-96.708055,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,23.480833,-109.715555,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,16.782778,-97.584167,100.0,2008
Anopheles (Anopheles) pseudopunctipennis,19.181667,-100.258889,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.898611,-96.691111,100.0,2011
Anopheles (Anopheles) pseudopunctipennis,18.718889,-98.901111,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,15.958611,-96.660833,100.0,2012
Anopheles (Anopheles) pseudopunctipennis,15.947222,-96.6625,100.0,2010
Anopheles (Anopheles) pseudopunctipennis,20.647778,-98.986944,80.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.271111,-100.296667,0.0,2011
